PC1,PC2,Cluster,HC_Cluster,DBscan_Cluster
-0.33685532876814994,-2.0493842498342447,0,2,1
-0.30325460140289096,0.40557673406662303,1,0,0
1.87997073965673,2.398454615272424,2,1,0
-1.0837671656761312,1.7084960222519274,1,3,0
-1.595321012666076,-0.5038583737468552,0,0,0
-1.3411779545032783,1.657764270308735,1,3,0
-1.875550330961735,1.2177949074383319,1,3,0
0.44894467951742484,1.2159569339498804,1,3,0
0.965636749997715,0.6890019515209322,2,1,1
0.02526218643489807,0.7652603546158957,1,2,1
1.7301406680095077,-0.5243265147840973,2,1,-1
-1.1165120337619652,1.2035011643152735,1,3,0
1.7987126553636563,-0.5806921277016822,2,1,1
0.4697312839855506,-1.1072285836056546,0,0,0
-0.009606216210115637,1.4444484418454668,1,2,1
0.37193477850976076,-1.2102506422581798,0,2,1
-1.1161672717064706,1.4583787262028862,1,3,0
-1.7367244614490613,-1.7398172789832362,0,0,0
-1.4562219104117382,0.3739555722082954,1,0,0
-0.12485691390285733,3.672706974648656,1,2,-1
-0.9156212412663964,0.9655770440141527,1,3,0
2.5277083678538954,-1.3372744960389857,2,1,1
-0.2896685890658549,0.363212008989554,1,3,0
-0.7331568578661618,-1.2267383578266524,0,0,0
-0.08397174000220518,-0.5083651202473923,0,0,0
-1.273780953047865,0.0664738143565039,1,2,1
-2.0227743759773262,-0.4486135407588002,1,0,0
0.9394923929359196,0.7105164896474427,2,3,0
1.4587218104372544,-2.2521607608622465,0,1,-1
-1.6788331316104395,-0.816210581891376,0,0,0
-1.7460876540368981,-1.9952820633218018,0,0,0
2.0013679548606333,2.105079647483325,2,1,1
-2.1756120586749197,-0.14133123525219787,1,0,0
-0.004877887806931112,1.0964135691143966,1,3,0
-0.17886143343786604,-0.7198016244647012,0,0,0
2.293399405929021,0.9250824411052537,2,1,1
4.636598503526683,-2.050365373563135,2,1,-1
-1.1084349312261634,-1.5084871710944758,0,0,0
-0.8609578326438297,-0.7070732105735791,0,0,0
0.4279981446979449,0.17268488171324675,1,2,1
-0.8172582981731712,0.30793792538503045,1,3,0
0.13967530685055174,-0.4052039410564415,0,0,0
0.13461078860513942,-0.234243172034587,0,0,0
-0.15133792567211796,-0.7061931936003879,0,0,0
-1.2980521933554643,-0.6406580828037861,1,3,0
3.552581576782549,0.9040748625878087,2,1,1
1.546510674554685,1.247203231084383,2,1,1
1.5115883120970344,-0.7693546329818678,2,1,1
0.24039814377504876,-0.9409582726896435,0,2,1
-0.956341977972339,0.018873739715547073,1,3,0
0.5638836766235275,-0.4623459687356847,0,1,1
-1.802409180427237,0.5780699475407873,1,3,0
-1.1181280659006585,-0.12608335347700306,1,0,0
1.509978415870987,-1.5825435277293165,0,0,0
-2.138053967379564,1.0202414129285584,1,3,0
0.8761520193047126,0.6405312414392476,2,2,-1
-0.7204363437091822,-0.880984397846321,0,2,1
-0.3955777470493866,-0.2931007216238059,0,0,0
-0.5789897722627007,0.3098901810070104,1,3,0
-1.93200300399674,0.22988981310703333,1,3,0
2.487117917971526,-1.8343065170472252,2,1,1
0.6707851813332926,0.9215892458475254,1,0,0
-0.7660155549365788,-2.7736545051226345,0,0,0
-1.913352511549964,-0.7028610128349438,0,0,0
0.7411591054740961,1.9804600787981543,1,3,0
1.017537074489245,-0.7677377367709692,0,0,0
0.7881816693936385,-0.6500963132584962,0,2,1
-0.9981555284054798,-0.61887647663105,0,0,0
-0.7973037748733551,1.0897397519497656,1,3,0
2.1395312670062365,0.17389663719951334,2,1,1
1.484669393724986,-1.445141261586016,0,1,1
1.872382462520115,-1.2246119792485988,2,2,-1
-0.3045688621968221,-0.16563592060523583,1,0,0
-0.9123584220894471,-3.569682751626508,0,0,-1
3.821022503527237,0.4175822890461,2,1,1
-0.4847760839774277,1.0959938122596689,1,2,1
-0.46232932459761955,0.10186211687202061,1,2,1
-0.4271254174163898,-0.5079718668615133,0,0,0
-1.5653221673664033,1.4077173799754839,1,2,1
-0.3203912648329087,-1.2636433831494376,0,0,0
0.08858982095169235,-0.4353480165603902,0,0,0
-0.8529191484431202,0.19659858345002687,1,2,1
1.2456581864253897,-3.14688599157649,0,0,-1
0.2658484829132833,1.5427366845036847,1,3,0
-1.4444803233864598,0.5260647455655982,1,2,1
-0.726839533721523,-0.8804893262583754,0,0,0
-2.178633256338712,0.029967029364727678,1,2,1
-1.427504240171371,1.1791344810227196,1,3,0
0.2815132470629365,-0.8336941664455653,0,0,0
-1.6291216277312823,-0.32678286398029627,1,0,0
1.4732771609155737,-1.4179267959565864,0,1,1
2.6796974664806585,2.4856121590259646,2,1,1
2.664008277770313,1.5703908660721393,2,1,1
-2.159688173685974,0.5206287427321866,1,3,0
-1.732655975458059,-0.15990009762462537,1,3,0
-1.1762094431297387,-2.086139250855972,0,0,0
-0.06184367597868566,0.2724028767348413,1,0,0
-1.7435381947614004,0.31099109753728665,1,3,0
-0.2153171717030209,1.7262519241633423,1,2,1
0.4872732669150636,-5.298262299197255,0,0,-1
-1.8027594632632318,1.2490393670094182,1,3,0
-1.2101934981930742,-1.0318486224145251,0,0,0
-0.5733827078381333,0.7994567962318017,1,3,0
-1.4575298207427243,-0.1818954503357176,1,0,0
3.6040467807407817,0.5397164651351687,2,1,-1
-1.2090969805041687,-0.5698723672138388,0,0,0
-0.06924810761837989,-0.563400475746269,0,0,0
-1.5866929299610664,-0.7238040415148824,0,0,0
-1.7872475301821513,0.7346537896433357,1,2,1
-2.0123218320006315,0.5716636908271766,1,3,0
1.1447852890779993,0.5603224162995396,2,2,1
-0.008937743422695533,0.5722356379236299,1,2,-1
0.45988962054025817,0.3023221024940809,1,0,0
5.015712771950811,0.4110970053180388,2,1,-1
0.17636461372197848,-0.6309406317192714,0,0,0
0.6852133009309239,-0.030673611360178904,0,0,0
0.6134203673697405,1.409112031820849,1,3,0
-0.27404764316186964,-0.8972593464455028,0,0,0
0.10765381047455054,1.0796883992384125,1,2,1
-1.2642146814000372,0.24622430328545514,1,3,0
1.7239560181452778,0.8174837808011245,2,2,1
-0.5249425081941915,2.008189207480787,1,3,0
-1.6932892520463771,-1.3169739661580242,0,0,0
-1.4423465925201056,0.18987412004562454,1,3,0
0.39460058327457753,1.4456491350228067,1,3,0
1.1191136812277767,-0.5583100818445584,0,2,1
1.1821913298099156,-0.9810049066675829,0,2,1
0.23744172390039409,1.5731453957053887,1,2,1
0.28119482894179765,1.6426765181538352,1,3,0
0.01359443818422652,1.213383900557397,1,2,1
-0.9766901765693242,0.33851135248826253,1,3,0
-0.3399943610792052,-1.1567998438693505,0,0,0
0.7147988741749761,0.6035706137180509,1,3,0
-0.8000228606044922,-1.8231389124432347,0,0,0
-1.6856537657484778,-0.27451712143235085,1,0,0
-1.434859842110691,-1.003408350717931,0,0,0
-0.5633413739799017,1.3395298131162927,1,3,0
-1.6060217244495063,0.3720181662470418,1,3,0
0.150429094211213,-3.041345324959376,0,0,0
1.7923633787941822,2.1908915304772836,2,1,1
-2.326098760488081,0.7820266824400972,1,3,0
-0.11949631802990385,-0.6284408019807869,0,0,1
-0.8517872610622023,-0.07783881769676769,1,2,1
-1.3450155201410916,1.2906695468794216,1,3,0
-1.101078552641206,0.29334224502175854,1,3,0
1.635147513778182,0.47476451803911934,2,1,1
-2.2711392492269615,0.3618871258336886,1,0,0
-0.4890630744744235,-1.3715181258448614,0,0,0
-0.7158008698483138,0.23560375682821993,1,3,0
-1.7946930718163796,-0.6175276119478503,1,0,0
-0.4961297888001244,0.20929168792713196,1,3,0
1.4905576849234743,-1.354046742077558,0,0,0
0.7440563952930783,-0.5504955911338246,0,0,1
-2.0123218320006315,0.5716636908271766,1,3,0
-0.572507770521766,0.3470852391873419,1,3,0
-1.1911754106672796,-0.4209666485606655,1,0,0
-0.9558156398332586,-1.263155144562569,0,2,1
0.11417851899508162,0.9950699607581354,1,3,0
1.641822147071818,1.2851391573818944,2,2,-1
-1.1381549461161686,1.186285273173237,1,2,1
-1.670816468752422,0.8254542611718524,1,3,0
-0.9002061709032783,-0.3540125487108396,1,0,0
-1.9678779896253351,-0.045975190082499666,1,3,0
-2.292496644290392,0.05392464466349512,1,3,0
-1.4304131848209192,-1.9576580189980255,0,2,1
-0.9699392246663185,0.03958123874025927,1,2,-1
1.4242043416355017,-0.8621513724507919,2,2,1
4.403936524647931,-0.2051317419585914,2,1,1
